I would like to drastically decrease the amount of time it takes me to clean the house.	J'aimerais diminuer de manière drastique la somme de temps que ça me prend de nettoyer la maison.
A lot of people who have up until now been spending money having a good time now need to be more careful with their money.	Beaucoup de gens qui ont jusqu'à présent dépensé de l'argent à passer du bon temps doivent être plus prudents avec leur argent.
For the crime of first degree murder, this court hereby sentences you to life in prison without the possibility of parole.	Pour le crime de meurtre au premier degré, cette cour vous condamne à la prison à perpétuité, sans possibilité de remise de peine.
It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language.	Il est très aisé d'avoir l'air naturel dans votre langue natale et très aisé d'avoir l'air de manquer de naturel dans une autre langue.
The difference between the right word and almost the right word is the difference between lightning and the lightning bug.	La différence entre un « mot juste » et un « mot presque juste » est comme la différence entre la foudre et le foudre.
The difference between the right word and almost the right word is the difference between lightning and the lightning bug.	La différence entre un « mot juste » et un « mot presque juste » est comme la différence entre un éclair et un éclair au chocolat.
If you don't eat breakfast, you'll probably be hungry during the morning and won't be as efficient at work as you could be.	Si tu ne petit-déjeunes pas, tu auras probablement faim au cours de la matinée et tu ne seras pas aussi efficace au travail que tu pourrais l'être.
If you don't eat breakfast, you'll probably be hungry during the morning and won't be as efficient at work as you could be.	Si vous ne petit-déjeunez pas, vous aurez probablement faim au cours de la matinée et vous ne serez pas aussi efficace au travail que vous pourriez l'être.
I used to watch this anime a lot when I was a kid, but I can't quite remember what happened to the hero in the final episode.	J'avais l'habitude de beaucoup regarder ce dessin animé quand j'étais enfant, mais je ne peux plus trop me rappeler ce qui est arrivé au héros dans l'ultime épisode.
The English language is undoubtedly the easiest and at the same time the most efficient means of international communication.	La langue anglaise est indubitablement la plus facile et en même temps le moyen de communication internationale le plus efficace.
According to the contract you may take three days of bereavement leave for your uncle's funeral, but only one for your nephew's.	Conformément au contrat, vous pouvez prendre trois jours de congé de deuil pour les funérailles de votre oncle, mais un seul pour celles de votre neveu.
According to the contract you may take three days of bereavement leave for your uncle's funeral, but only one for your nephew's.	Conformément aux closes du contrat, vous pouvez prendre trois jours de congé de deuil pour les funérailles de votre oncle, mais un seul pour celles de votre neveu.
According to the contract you may take three days of bereavement leave for your uncle's funeral, but only one for your nephew's.	Conformément au contrat, vous pouvez prendre trois jours de congé de décès pour les funérailles de votre oncle, mais un seul pour celles de votre neveu.
Food prices are at their highest level since the United Nations Food and Agriculture Organization began keeping records in 1990.	Les prix de l'alimentation sont à leur plus haut niveau depuis que l'Organisation des Nations Unies pour l’alimentation et l’agriculture a commencé à les enregistrer en mille-neuf-cent-quatre-vingt-dix.
If one has the right to live, then one should also have the right to die. If not, then living is not a right, but an obligation.	Si quelqu'un détient le droit de vivre, alors il devrait également détenir celui de mourir. Sinon, vivre n'est alors pas un droit mais une obligation.
It was bad enough that he usually came to work late, but coming in drunk was the last straw, and I'm going to have to let him go.	C'était suffisamment grave qu'il arrive habituellement au travail en retard, mais venir soûl est un comble, et je vais devoir m'en débarrasser.
The teacher supervising the playground became concerned when she saw a man talking to some of the children over the school fence.	L'institutrice chargée de surveiller la courre s'inquiéta lorsqu'elle vit un homme parler à des enfants par-dessus la grille de l'école.
Cities and provinces along the Yangtze River in central China are grappling with the country's worst drought in more than 50 years.	Les villes et les provinces le long du fleuve Yangtsé, au centre de la Chine, sont aux prises avec la pire sécheresse que le pays ait connu depuis plus de cinquante ans.
That proposal may be a way to kill two birds with one stone, but we also have to be careful not to get greedy and spoil everything.	Cette proposition pourrait faire d'une pierre deux coups, mais nous devons aussi faire attention à ne pas devenir gourmands et ainsi tout gâcher.
A committee is a group of people who individually can do nothing, but who, as a group, can meet and decide that nothing can be done.	Un comité est un groupe de gens qui ne peuvent rien faire individuellement mais qui peuvent tenir des réunions en tant que groupe et parvenir à la décision qu'on ne peut rien faire.
One of the best ways to help us is to translate from a foreign language you know into your own native language or strongest language.	L'une des meilleures manières de nous aider est de traduire d'une langue étrangère que vous connaissez vers votre propre langue natale, ou la plus forte de vos langues.
Since it will be cold soon, it might be nice to enjoy doing something outdoors the final few warm days we have before winter sets in.	Puisqu'il fera bientôt froid, ça serait chouette de profiter des quelques derniers jours chauds dont nous disposons pour faire quelque chose à l'extérieur, avant que l'hiver ne s'installe.
A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.	Un homme qui n'a jamais été à l'école peut voler d'un wagon, mais s'il dispose d'un diplôme, il peut voler toute la ligne de chemin de fer.
One way to lower the number of errors in the Tatoeba Corpus would be to encourage people to only translate into their native languages.	Un moyen de diminuer le nombre d’erreurs dans le corpus de Tatoeba serait d’encourager les gens à traduire uniquement vers leur langue maternelle.
What is old age? First you forget names, then you forget faces, then you forget to pull your zipper up, then you forget to pull it down.	Qu'est l'âge ? D'abord on oublie les noms, et puis on oublie les visages, puis on oublie de remonter sa braguette, et puis on oublie de la descendre.
What is old age? First you forget names, then you forget faces, then you forget to pull your zipper up, then you forget to pull it down.	Ce qu'est l'âge ? D'abord on oublie les noms, et puis on oublie les visages, puis on oublie de remonter sa braguette, et puis on oublie de la descendre.
He and I have a near-telepathic understanding of each other. No sooner does one of us say something than the other is already responding.	Lui et moi avons une compréhension quasi-télépathique de chacun. Aussitôt que l'un de nous dit quelque chose, l'autre est déjà en train de répondre.
Although rainforests make up only two percent of the earth's surface, over half the world's wild plant, animal and insect species live there.	Bien que les forêts tropicales ne couvrent que 2% de la surface de la terre, plus de la moitié des espèces animales, végétales et des insectes y vivent.
If you translate from your second language into your own native language, rather than the other way around, you're less likely to make mistakes.	Si vous traduisez de votre seconde langue dans votre propre langue maternelle, plutôt que dans l'autre sens, il y a moins de chances que vous commettiez des fautes.
I love trying out new things, so I always buy products as soon as they hit the store shelves. Of course, half the time I end up wishing I hadn't.	J'adore essayer de nouvelles choses, alors j'achète toujours des produits dès qu'ils sont en rayons. Bien sûr, la moitié du temps, je finis par souhaiter ne pas l'avoir fait.
A good theory is characterized by the fact that it makes a number of predictions that could in principle be disproved or falsified by observation.	Une bonne théorie se caractérise par le fait de faire une série de prédictions qui, en principe, pourraient être réfutées ou mises en défaut par l'observation.
The more time you spend speaking a foreign language, the better you get at guessing what non-native speakers are trying to say in your own language.	Plus l'on passe de temps à parler une langue étrangère, plus l'on s'améliore à devenir ce qu'un non-natif essaie de dire dans sa propre langue.
The enquiry concluded that, despite his denials, the chief executive would have had to have known about the illegal practices occurring in the company.	L'enquête conclut qu'en dépit de ses dénégations, le directeur général aurait eu connaissance des pratiques illégales, en cours dans l'entreprise.
The Tatoeba Project, which can be found online at tatoeba.org, is working on creating a large database of example sentences translated into many languages.	Le projet Tatoeba, que l'on peut trouver en ligne sur tatoeba.org, travaille à la création d'une vaste base de données de phrases d'exemple, traduites dans de nombreuses langues.
You may not learn to speak as well as a native speaker, but you should be able to speak well enough that native speakers will understand what you have to say.	Peut-être n'apprendrez-vous pas à parler comme un locuteur natif, mais vous devriez être en mesure de parler suffisamment bien pour que les natifs comprennent ce que vous avez à dire.
E-cigarettes are being promoted as a healthy alternative to tobacco cigarettes, but health authorities are concerned about the long-term health effects on users.	La cigarette électronique est mise en avant comme une saine alternative aux cigarettes, mais les autorités sanitaires s'inquiètent des effets à long terme sur la santé des consommateurs.
It's still too hard to find a job. And even if you have a job, chances are you're having a tougher time paying the rising costs of everything from groceries to gas.	C'est encore trop difficile de trouver un emploi. Et même quand on en a un, il y a des chances qu'on ait davantage de difficultés à payer le coût de tout, de l'épicerie au gaz.
As you contribute more sentences to the Tatoeba Corpus in your native language, the percentage of sentences in your native language with errors will likely decrease.	Au fur et à mesure que vous ajoutez davantage de phrases au corpus de Tatoeba dans votre langue natale, il est probable que le pourcentage de phrases dans celle-ci, comportant des erreurs, diminuera.
Even at the end of the nineteenth century, sailors in the British Navy were not permitted to use knives and forks because using them was considered a sign of weakness.	Même à la fin du dix-neuvième siècle, les marins de la marine britannique n'étaient pas autorisés à utiliser des couteaux et des fourchettes parce que c'était considéré comme un signe de faiblesse.
Five tremors in excess of magnitude 5.0 on the Richter scale have shaken Japan just this week, but scientists are warning that the largest expected aftershock has yet to hit.	Cinq secousses dépassant la magnitude cinq sur l'échelle de Richter ont secoué le Japon précisément cette semaine, mais les scientifiques avertissent que la plus grande réplique est encore à venir.
No matter how much you try to convince people that chocolate is vanilla, it'll still be chocolate, even though you may manage to convince yourself and a few others that it's vanilla.	Peu importe le temps que tu passeras à essayer de convaincre les gens que le chocolat est de la vanille, ça restera toujours du chocolat, même si tu réussis à convaincre toi et quelques autres que c'est de la vanille.
A child who is a native speaker usually knows many things about his or her language that a non-native speaker who has been studying for years still does not know and perhaps will never know.	Un enfant qui est un locuteur natif connaît habituellement de nombreuses choses sur son langage qu'un locuteur non-natif qui a étudié pendant des années ignore encore et peut-être ne saura jamais.
There are four main causes of alcohol-related death. Injury from car accidents or violence is one. Diseases like cirrhosis of the liver, cancer, heart and blood system diseases are the others.	Il y a quatre causes principales de décès liés à l'alcool. Les blessures dans les accidents automobiles ou la violence en est une. Les maladies comme la cirrhose, le cancer, les maladies cardio-vasculaires en sont les autres.
"Top-down economics never works," said Obama. "The country does not succeed when just those at the very top are doing well. We succeed when the middle class gets bigger, when it feels greater security."	« L'économie en partant du haut vers le bas, ça ne marche jamais, » a dit Obama. « Le pays ne réussit pas lorsque seulement ceux qui sont au sommet s'en sortent bien. Nous réussissons lorsque la classe moyenne s'élargit, lorsqu'elle se sent davantage en sécurité. »
A carbon footprint is the amount of carbon dioxide pollution that we produce as a result of our activities. Some people try to reduce their carbon footprint because they are concerned about climate change.	Une empreinte carbone est la somme de pollution au dioxyde de carbone que nous produisons par nos activités. Certaines personnes essaient de réduire leur empreinte carbone parce qu'elles sont inquiètes du changement climatique.
Death is something that we're often discouraged to talk about or even think about, but I've realized that preparing for death is one of the most empowering things you can do. Thinking about death clarifies your life.	La mort est une chose qu'on nous décourage souvent de discuter ou même de penser mais j'ai pris conscience que se préparer à la mort est l'une des choses que nous puissions faire qui nous investit le plus de responsabilité. Réfléchir à la mort clarifie notre vie.
Since there are usually multiple websites on any given topic, I usually just click the back button when I arrive on any webpage that has pop-up advertising. I just go to the next page found by Google and hope for something less irritating.	Puisqu'il y a de multiples sites web sur chaque sujet, je clique d'habitude sur le bouton retour arrière lorsque j'atterris sur n'importe quelle page qui contient des publicités surgissantes. Je me rends juste sur la prochaine page proposée par Google et espère tomber sur quelque chose de moins irritant.
If someone who doesn't know your background says that you sound like a native speaker, it means they probably noticed something about your speaking that made them realize you weren't a native speaker. In other words, you don't really sound like a native speaker.	Si quelqu'un qui ne connaît pas vos antécédents dit que vous parlez comme un locuteur natif, cela veut dire qu'il a probablement remarqué quelque chose à propos de votre élocution qui l'a fait prendre conscience que vous n'êtes pas un locuteur natif. En d'autres termes, vous ne parlez pas vraiment comme un locuteur natif.
It may be impossible to get a completely error-free corpus due to the nature of this kind of collaborative effort. However, if we encourage members to contribute sentences in their own languages rather than experiment in languages they are learning, we might be able to minimize errors.	Il est peut-être impossible d'obtenir un Corpus complètement dénué de fautes, étant donnée la nature de ce type d'entreprise collaborative. Cependant, si nous encourageons les membres à produire des phrases dans leurs propres langues plutôt que d'expérimenter dans les langues qu'ils apprennent, nous pourrions être en mesure de réduire les erreurs.
